url,domain,tweet_count,retweet_count_metadata,quote_count_metadata,tweet_count_by_community_0,retweet_count_by_community_0,quote_count_by_community_0,tweet_count_by_community_1,retweet_count_by_community_1,quote_count_by_community_1,tweet_count_by_community_2,retweet_count_by_community_2,quote_count_by_community_2,tweet_count_by_community_3,retweet_count_by_community_3,quote_count_by_community_3,tweet_count_by_community_4,retweet_count_by_community_4,quote_count_by_community_4,tweet_count_by_suspended_users,retweet_count_by_suspended_users,quote_count_by_suspended_users
https://davidharrisjr.com/steven/boom-unsupervised-election-workers-allegedly-messed-with-voting-machines-in-georgia-after-false-claim-of-water-main-break-sent-people-home-all-caught-on-video/,davidharrisjr.com,3,4335,239,0,3,4,1,259,22,0,2753,178,0,7,0,0,27,3,0,1007,39
http://redstateobserver.com/article.asp?id=174921&fbclid=IwAR1GPhQRCv9WsJqJOJ2VWne02njS8GoomzK9D_LtIz-6PBGY90dIB8qYj8o,redstateobserver.com,3,4273,292,0,2,0,1,120,19,2,2185,157,0,2,2,0,4,1,2,982,78
https://www.pscp.tv/w/cqeiDjFQWEtkUm5HQVZZRWV8MU1ueG5sYmdnRG1HTyurzj1Qb1BOO8jegTSnxyRzt8M1C0tRZpr5iKvL48Vu,pscp.tv,4,4129,223,0,5,3,2,264,16,0,2713,198,0,17,0,0,20,1,0,1172,56
https://thejewishvoice.com/2020/11/twitter-suspends-campaign-account-of-pa-senator-after-powerful-speech-at-election-fraud-hearings/,thejewishvoice.com,54,4127,379,1,8,2,4,250,52,42,2799,250,1,13,1,1,54,5,8,902,67
https://www.pscp.tv/w/coLvZTFkclFlWk1OcHF2S2J8MXlvSk1Bdm9Ca2VKUQNxzuhJuke-1_RDSGEpPBMwIFwv0qTUmiWptMgOdAEH,pscp.tv,1,4050,208,0,5,0,1,118,12,0,1974,115,0,18,2,0,36,4,1,743,34
https://www.detroitnews.com/story/news/politics/2020/10/30/michigan-investigating-voter-registration-irregularities-muskegon/6090700002/,detroitnews.com,2,4034,251,0,4,0,1,127,13,1,1147,76,0,12,0,0,3,0,0,341,16
https://www.depernolaw.com/uploads/2/7/0/2/27029178/antrim_michigan_forensics_report_%5B121320%5D_v2_%5Bredacted%5D.pdf,depernolaw.com,44,3806,314,0,2,1,2,125,22,38,1507,113,1,2,0,0,10,1,3,592,31
https://www.thegatewaypundit.com/2020/11/sidney-powell-krackenonsteroids-team-also-looking-election-fraud-virginia/?utm_source=Twitter&utm_campaign=websitesharingbuttons,thegatewaypundit.com,196,3779,254,0,1,0,7,81,19,174,2808,214,0,7,0,0,27,1,67,1121,64
https://thenationalpulse.com/breaking/election-live-blog/,thenationalpulse.com,19,3762,278,0,1,2,7,105,15,10,1023,82,0,5,2,0,5,0,7,353,32
https://www.gofundme.com/f/voter-fraud-detection-az-ga-mi-nc-nv-pa-wi,gofundme.com,24,3368,436,0,1,7,5,87,19,16,398,50,0,0,0,0,2,0,1,122,10
https://www.projectveritas.com/news/breaking-another-one-erie-pa-usps-insider-exposes-nov-3-postmark-voter-fraud/,projectveritas.com,107,3330,255,2,0,0,16,38,7,59,403,40,1,1,0,1,3,1,14,148,6
https://www.orlandosentinel.com/politics/2020-election/fl-ne-voter-id-fraud-broward-florida-20201030-rfwqzhgfq5fypl4632dspgla7i-story.html,orlandosentinel.com,91,3298,508,3,4,3,15,428,88,61,2106,315,0,2,0,0,2,0,11,624,75
https://www.pscp.tv/w/cof0YjF4ZUtXeEdWcnJhalB8MVprS3plUExFWXl4djVZX3XXm2vyz1Yatz8JXtfwjIjyyFqvPitrzfHZdgGn,pscp.tv,1,3272,191,0,4,4,1,131,10,0,1799,112,0,4,1,0,25,0,0,645,27
https://www.newsmax.com/politics/giuliani-fraud-election-pennsylvania/2020/11/08/id/996014/,newsmax.com,3,3263,246,0,7,0,1,195,24,1,1232,96,0,11,1,0,28,0,0,412,31
https://thefederalist.com/2020/11/06/election-fraud-in-detroit-they-did-not-want-us-to-see-what-was-happening/#.X6Yaii3EPSc.twitter,thefederalist.com,16,3244,217,0,3,1,2,114,16,14,825,57,0,2,0,0,9,0,3,240,16
https://www.youtube.com/watch?v=96-BQaIVOpc,youtube.com,40,3175,345,0,3,3,11,382,37,16,365,53,0,8,1,0,3,0,5,92,20
https://thefederalist.com/2020/11/13/michigan-gop-lawmakers-demand-fraud-audit-before-the-election-is-certified/#.X670ppTZL1c.twitter,thefederalist.com,11,3164,159,0,5,5,1,217,17,10,1827,101,0,6,0,0,11,1,2,672,25
https://lauraingraham.com/2020/12/trump-america-should-root-out-voter-fraud/,lauraingraham.com,33,3111,293,0,9,30,6,439,39,13,1421,137,0,2,2,0,26,1,2,535,35
https://www.independent.co.uk/news/world/europe/salvini-trump-election-fraud-us-b1640668.html?utm_content=Echobox&utm_medium=Social&utm_source=Twitter#Echobox=1604667125,independent.co.uk,9,3093,5527,2,661,164,0,0,3,0,3,13,0,1,0,0,1,0,0,4,1
https://hannity.com/media-room/project-veritas-nevada-mail-worker-caught-on-tape-suggesting-voter-fraud-to-remove-trump/?utm_source=socialflow,hannity.com,1,3045,347,0,2,3,1,106,9,0,274,29,0,3,0,0,4,0,0,93,6
https://www.washingtonpost.com/politics/2020/11/11/trump-lawyers-suffer-embarrassing-rebukes-judges-over-voter-fraud-claims/?tid=ss_tw,washingtonpost.com,157,3038,415,120,1327,158,1,2,2,9,12,1,0,0,0,0,0,0,2,23,7
https://www.pscp.tv/w/cpfQDjFQWEtkUm5HQVZZRWV8MVlxeG95emJlQnpHdsc0-AQ_qu_9TY-WWmD8mt2NSO69EayxOsU2wpPS74bu,pscp.tv,2,3035,246,0,9,3,2,186,30,0,1520,158,0,19,0,0,25,0,0,617,40
https://www.fox5atlanta.com/news/georgia-sheriffs-offer-help-investigating-claims-of-voter-fraud,fox5atlanta.com,29,2981,269,0,2,0,5,66,16,22,2363,228,0,2,0,0,8,0,11,970,73
https://lauraingraham.com/2020/11/ingraham-angle-exclusive-whistleblower-claims-she-witnessed-blatant-voter-fraud-in-nevada/,lauraingraham.com,27,2929,177,0,5,17,6,260,22,13,1522,66,0,4,0,0,7,3,11,523,18
https://www.thegatewaypundit.com/2020/11/yuge-lawsuit-alleges-detroit-officials-knowingly-committed-mass-voter-fraud/?utm_source=Twitter&utm_campaign=websitesharingbuttons,thegatewaypundit.com,21,2922,234,0,1,0,1,26,5,19,513,62,0,0,0,0,2,0,7,173,26
https://nypost.com/2020/11/05/trump-to-speak-from-white-house-as-vote-count-leans-toward-biden/?utm_campaign=SocialFlow&utm_medium=SocialFlow&utm_source=NYPTwitter,nypost.com,2,2882,4541,0,249,507,1,107,22,0,11,84,0,1,3,0,3,5,0,7,39
https://djhjmedia.com/rich/trump-addressed-the-nation-saying-he-has-proof-of-democrat-election-fraud-video/,djhjmedia.com,16,2833,273,0,2,3,4,83,16,9,542,51,0,0,0,0,3,1,4,188,9
https://www.pscp.tv/w/cqI9tzFQWEtkUm5HQVZZRWV8MVlxR295UHJnQWF4dqS9ew950XxGc5OzvX8xzv5ZpdDu3etYbEIiy9fA5kip,pscp.tv,3,2825,165,0,5,1,1,224,21,2,1955,159,0,31,0,0,34,1,0,825,38
https://www.washingtonexaminer.com/news/nevadas-clark-county-elections-chief-has-reports-of-voter-fraud-wont-investigate-until-counting-complete,washingtonexaminer.com,86,2773,329,2,3,4,13,91,13,58,762,89,1,4,1,0,4,1,11,226,20
https://justthenews.com/politics-policy/polling/pollster-who-got-it-right-2016-says-trump-must-win-pa-4-or-5-points,justthenews.com,26,2755,316,0,3,2,2,251,32,23,1808,214,0,1,1,0,5,2,7,676,55
https://nationalfile.com/bidens-texas-political-director-accused-of-illegal-ballot-harvesting-at-texas-supreme-court/,nationalfile.com,501,2728,238,2,1,2,43,24,6,330,1126,125,14,314,17,3,5,3,83,454,36
https://www.waynedupree.com/2020/11/bolsonaro-2020-election/,waynedupree.com,38,2723,254,0,2,2,6,73,19,27,1797,166,0,2,0,0,3,1,8,577,45
https://www.pscp.tv/w/cnMPRjFQWEtkUm5HQVZZRWV8MXlwS2R3cUFEd254V1ILC-BxWJajHB_D9TCiaor17iFwnCsk3PGegfSdn3V_,pscp.tv,3,2718,180,0,0,0,1,34,2,2,215,21,0,2,1,0,6,0,2,86,7
https://www.pscp.tv/w/cof-QjF4ZUtXWE5acWJOalB8MWxQSnFYTlZCTVFHYhvWP7mPdgIONqIzO-IABfMNxonfn7bZMClcnSvkD8wk,pscp.tv,2,2657,183,0,0,1,2,70,7,0,1093,76,0,3,0,0,3,0,0,415,19
https://www.rawstory.com/2020/11/gop-donors-paid-usps-whistleblower-136000-for-election-fraud-allegations-that-he-just-recanted/,rawstory.com,171,2594,350,132,862,143,0,0,1,2,9,4,0,0,0,0,0,0,4,17,2
https://www.thegatewaypundit.com/2020/11/statistician-announces-investigation-voter-fraud-az-ga-mi-nc-nv-pa-wi/?utm_source=Twitter&utm_campaign=websitesharingbuttons,thegatewaypundit.com,29,2578,206,0,0,0,2,15,2,24,343,25,0,2,1,0,2,0,10,130,6
https://thefederalist.com/2020/11/13/partisans-cheating-by-ignoring-election-law-is-a-problem-as-big-as-vote-fraud/#.X7HqHYZzkEk.twitter,thefederalist.com,13,2567,113,0,6,1,1,107,15,9,1591,65,0,3,0,0,3,0,4,579,14
https://thedcpatriot.com/breaking-nevada-usps-carrier-caught-on-tape-pledging-voter-fraud-to-remove-donald-trump-from-office/,thedcpatriot.com,24,2539,229,0,0,0,12,26,2,12,466,41,0,2,0,0,2,0,5,145,8
https://www.oann.com/evidence-of-alleged-voter-fraud-appears-in-mich-pa/,oann.com,55,2465,178,2,2,1,7,65,5,35,378,34,0,2,0,0,1,0,13,136,6
https://thefederalist.com/2020/11/05/reports-of-election-fraud-keep-piling-up-in-michigan-whats-going-on/#.X6RVzVTQjrk.twitter,thefederalist.com,2,2440,179,0,2,2,2,33,3,0,211,26,0,0,0,0,1,0,0,60,5
https://www.thegatewaypundit.com/2020/11/michigan-judge-tossed-pro-trump-voter-fraud-suit-caught-releasing-child-molesters/?utm_source=Twitter&utm_medium=PostTopSharingButtons&utm_campaign=websitesharingbuttons,thegatewaypundit.com,457,2411,414,2,0,0,38,30,20,374,2017,383,1,1,0,0,3,0,128,791,137
https://thedcpatriot.com/stacey-abrams-founded-group-with-senate-hopeful-warnock-under-investigation-for-voter-fraud/,thedcpatriot.com,45,2366,270,0,0,0,9,47,23,32,1766,203,0,0,0,0,2,0,6,715,64
https://www.citizensforethics.org/news/press-releases/lindsey-graham-election-interference/,citizensforethics.org,75,2349,284,60,1765,201,0,0,0,0,19,3,0,0,0,0,0,0,4,23,7
https://thenationalpulse.com/politics/establishment-election-interference/,thenationalpulse.com,27,2317,151,0,0,0,4,88,8,21,899,70,0,5,0,0,1,0,4,291,26
https://www.sidneypowell.com/,sidneypowell.com,3,2312,143,0,1,1,1,57,20,0,1536,99,0,56,15,0,15,4,2,716,47
https://hannity.com/media-room/fraud-exposed-texas-ballot-chaser-says-im-getting-the-biden-vote-out-i-dont-do-it-for-free/,hannity.com,21,2312,205,0,0,0,3,0,4,15,23,33,0,0,0,0,0,0,7,7,13
https://thefederalist.com/2020/11/09/yes-there-was-election-fraud-the-question-is-how-much/#.X6mk_CY3adM.twitter,thefederalist.com,5,2282,212,0,1,0,1,49,4,2,457,61,0,0,0,0,5,0,1,138,8
https://video.foxnews.com/v/6212916983001/?playlist_id=3386055101001,video.foxnews.com,4,2256,137,0,7,11,1,109,14,2,1421,76,0,5,1,0,16,0,0,595,19
https://tatumreport.com/mi-dominion-audit-released-evidence-of-voter-fraud-is-overwhelming/,tatumreport.com,90,2246,188,0,2,1,6,194,19,72,913,90,0,0,0,0,3,0,4,336,14
https://deadstate.org/flag-waving-trump-supporter-admits-to-voter-fraud-i-voted-for-twice-for-trump-in-2016/,deadstate.org,54,2224,242,39,1472,136,0,0,1,1,15,4,0,0,0,0,0,0,1,21,8
https://electionwiz.com/2020/12/01/recap-whistleblowers-allege-election-fraud-implicating-postal-service/,electionwiz.com,7,2217,105,0,0,0,2,24,4,5,687,40,0,3,0,0,5,3,3,331,12
https://www.texasattorneygeneral.gov/news/releases/ag-paxton-statement-project-veritas-uncovering-organized-election-fraud-bexar-county-texas,texasattorneygeneral.gov,29,2195,207,0,0,0,5,0,1,18,14,14,0,0,0,0,0,0,7,4,5
https://freebeacon.com/2020-election/warnock-led-voter-registration-group-under-investigation/,freebeacon.com,5,2190,201,0,4,5,1,114,18,4,1161,119,0,2,0,0,5,0,0,441,36
https://www.foxnews.com/politics/ilhan-omar-husband-campaign-firm,foxnews.com,2,2171,182,0,1,0,1,43,0,1,430,1,0,1,0,0,2,0,0,150,1
https://www.reuters.com/article/us-usa-election-barr/u-s-attorney-general-authorizes-prosecutors-to-probe-substantial-allegations-of-vote-irregularities-idUSKBN27Q005,reuters.com,1,2165,172,0,0,0,1,33,5,0,295,28,0,1,0,0,3,0,1,145,17
https://rumble.com/vbiu0l-new-evidence-of-voter-fraud-in-michigan-should-make-every-american-furious.html?mref=23gga&mc=8uxj1,rumble.com,15,2149,145,0,2,1,7,126,10,6,828,71,0,1,0,0,3,0,0,285,15
https://davidharrisjr.com/steven/democrats-suggest-out-of-state-liberals-move-to-georgia-to-vote-in-senate-runoff-elections/,davidharrisjr.com,2,2114,264,0,1,0,1,73,15,0,580,89,0,2,0,0,0,0,0,172,23
https://djhjmedia.com/kari/powell-slams-doj-for-ignoring-public-story-of-alarming-election-fraud-and-foreign-interference-who-does-fbi-work-for/,djhjmedia.com,9,2102,148,0,3,0,2,104,16,4,1024,83,1,38,0,0,6,0,0,414,32
https://www.wsbtv.com/news/local/atlanta/gbi-using-hand-picked-task-force-help-look-into-possible-election-fraud-across-state/KX2F2JU3FNFWHCEYON77XKES6A/,wsbtv.com,79,2079,1203,1,10,12,9,85,74,62,1543,897,0,4,3,0,1,1,16,626,257
https://bongino.com/states-decisions-to-mail-ballots-to-all-registered-voters-opened-the-door-to-election-fraud/,bongino.com,1,2003,226,0,3,2,1,116,27,0,736,100,0,1,0,0,7,2,0,319,28
https://www.theepochtimes.com/philadelphia-ballot-observer-criticizes-transparency-of-counting-process_3570330.html?utm_source=newsnoe&utm_medium=email&utm_campaign=breaking-2020-11-08-5,theepochtimes.com,1,1955,81,0,1,2,1,49,9,0,996,38,0,1,0,0,4,0,1,425,14
http://theconservativetreehouse.com/2020/11/12/it-contractor-for-dominion-ballot-counting-software-co-exposes-massive-ballot-fraud-in-detroit-michigan/,theconservativetreehouse.com,4,1919,147,0,2,0,1,48,12,3,756,71,0,1,0,0,0,0,0,229,18
http://theconservativetreehouse.com/2020/11/25/nevada-judge-sets-december-3rd-as-date-to-hear-election-fraud-evidence/,theconservativetreehouse.com,1,1916,84,0,1,0,1,38,5,0,1333,66,0,20,2,0,16,0,0,609,21
https://www.thegatewaypundit.com/2020/12/happening-president-trump-issues-warning-swing-states-found-massive-voter-fraud-cannot-legally-certify-votes/,thegatewaypundit.com,100,1910,92,0,1,1,6,7,6,70,648,28,0,5,1,0,7,0,17,284,12
https://www.revolver.news/2020/11/trump-won-now-stop-the-steal/,revolver.news,4,1892,129,0,1,0,2,57,4,2,365,22,0,1,0,0,1,0,1,125,9
https://www.oann.com/poll-watchers-bring-forward-evidence-of-voter-fraud-in-ariz-mich/,oann.com,55,1865,127,1,5,6,7,86,13,33,628,43,2,8,0,0,14,2,6,243,8
