video_id,video_title,video_description,channel_id,channel_title,published_at,tweet_count,retweet_count_metadata,quote_count_metadata,tweet_count_by_community_0,retweet_count_by_community_0,quote_count_by_community_0,tweet_count_by_community_1,retweet_count_by_community_1,quote_count_by_community_1,tweet_count_by_community_2,retweet_count_by_community_2,quote_count_by_community_2,tweet_count_by_community_3,retweet_count_by_community_3,quote_count_by_community_3,tweet_count_by_community_4,retweet_count_by_community_4,quote_count_by_community_4,tweet_count_by_suspended_users,retweet_count_by_suspended_users,quote_count_by_suspended_users
Avy8eCHYd6I,11.13.20: D@Mini@n GOT CAUGHT! Amazing details UNFOLD!,"Protect Your Retirement W/ A Gold. IRA
https://noblegoldinvestments.com/gold-silver-ira-lp-v2/?offer_type=gold&affiliate_source=affiliate_weknow
Noble Gold is Who I Trust ^^^
-----------------------------------------------------------------------
🌿 Get My Favorite Turmeric Extract For 51% Today!
😍 Get 51% Off by Clicking Here ➡️ [http://agewithawk.com/] 
-------------------------------------------
Music Piece
Beyond
Song by Ian Post
https://artlist.io/song/43551/beyond

HUGE! Corrupted S@ftware Used in Michigan County that St@le 6,000 Votes from Trump — Is Also Used in ALL SWING STATES — And Uses Chin@se Computer Parts In Its Machines
https://bit.ly/36tLBo9

Every Legal Vote
https://everylegalvote.com/country

Million MAGA March Planned For Saturday In Washington, MILLIONS of Patriots Expected!
https://bit.ly/2GVFfoD

40,000 Fr@ud Ballots in Detroit
https://bit.ly/3njKu0X
------------------------------------------------------------
*Our AWK Website: https://www.andweknow.com/
Uncensored VIDS: https://andweknow.tv/

Donations can be sent via the following:
*Subscribestar: https://www.subscribestar.com/and-we-know
*PayPal DONATIONS: https://www.paypal.me/andweknow410
*Mail your gift to: LT, 30520 Rancho California Rd, #126, Temecula, CA 92591

*AWK Shirts and gifts: https://teespring.com/stores/and-we-know-828

Connect with us in the following ways:
*Rumble: https://rumble.com/c/c-295791
*Twitter: https://twitter.com/andweknow
*Facebook: https://www.facebook.com/andweknow828/
*Parler - https://parler.com/profile/andweknow/posts
*Instagram: https://www.instagram.com/andweknow8_28/
Backup Channels:
*Bitchute: https://www.bitchute.com/channel/1uDxpDogKMs9/
*DropSpace: https://drop.space/@Andweknow",UCzkAzJ2vQgRyEDzHFiKOaQA,AWK NEWS,2020-11-13T14:09:33Z,9,738,85,0,0,0,1,63,10,8,447,61,0,2,0,0,1,0,1,240,26
fWLD-tL42kI,"11.14.20: ""Release the KRAKEN"" says @SidneyPowell1 UNLEASHED!","Prepare for Emergencies with a Food Supply
http://preparewithandweknow.com/
Save $100 for 4-week supply^^^
-----------------------------------------------------------------------
✅ Enjoy The Healthy Aging Support of Collagen 🔥
😍 Get 51% Off Ageless Multi-Collagen Here ➡️  [http://healthwithawk.com/]  
This is my FAV trusted source ^^^^
-------------------------------------------
https://www.andweknow.com/

Music Piece
Epic Blockbuster Trailer
Item URL:
https://audiojungle.net/item/epic-blockbuster-trailer/6376178

Sidney Powell With Lou Dobbs: Release The Kraken
https://www.youtube.com/watch?v=2qzjGWqSQI4

'This is not over' | Rep. Devin Nunes
https://www.youtube.com/watch?v=HZ4L3p3GAVw

Trump has no fighters around him! | Greg Kelly
https://www.youtube.com/watch?v=myMY29TXoBs

Lin Wood Just Brought Georgia to Their Knees With This Blistering Lawsuit
https://www.waynedupree.com/2020/11/lin-wood-georgia-lawsuit/

🔴 Watch LIVE: March For Trump in Washington, D.C. All Day LIVE Coverage
https://www.youtube.com/watch?v=whUGwjpc00U&feature=youtu.be

*Our AWK Website: https://www.andweknow.com/
Uncensored VIDS: https://andweknow.tv/

Donations can be sent via the following:
*Subscribestar: https://www.subscribestar.com/and-we-know
*PayPal DONATIONS: https://www.paypal.me/andweknow410
*Mail your gift to: LT, 30520 Rancho California Rd, #126, Temecula, CA 92591

*AWK Shirts and gifts: https://teespring.com/stores/and-we-know-828

Connect with us in the following ways:
*Rumble: https://rumble.com/c/c-295791
*Twitter: https://twitter.com/andweknow
*Facebook: https://www.facebook.com/andweknow828/
*Parler - https://parler.com/profile/andweknow/posts
*Instagram: https://www.instagram.com/andweknow8_28/
Backup Channels:
*Bitchute: https://www.bitchute.com/channel/1uDxpDogKMs9/
*DropSpace: https://drop.space/@Andweknow",UCzkAzJ2vQgRyEDzHFiKOaQA,AWK NEWS,2020-11-14T13:35:51Z,7,650,102,0,0,0,1,87,8,5,428,69,0,2,2,0,1,0,2,239,40
dooOowS8O5U,"11.10.20: FIRE!!! ""We want SUNLIGHT!"" says Kayleigh McEnany","Protect Your Retirement W/ A Gold. IRA
https://noblegoldinvestments.com/gold-silver-ira-lp-v2/?offer_type=gold&affiliate_source=affiliate_weknow
Noble Gold is Who I Trust ^^^
-----------------------------------------------------------------------
🌿 Get My Favorite Turmeric Extract For 51% Today!
😍 Get 51% Off by Clicking Here ➡️ [http://agewithawk.com/] 
-------------------------------------------
https://www.andweknow.com/

Music Piece
Extreme Rock Trailer
https://audiojungle.net/item/epic-rock-trailer/20689714?_ga=2.74821266.1828498961.1605072218-1887775106.1578210125

Tens of Thousands of Pennsylvania Ballots Returned Earlier Than Sent Date: Researcher
https://www.theepochtimes.com/pennsylvania-100000-ballots-with-implausible-return-dates_3572942.html

Trump Campaign hosting press conference
https://www.youtube.com/watch?v=Cl36uhz9MzQ

*Our AWK Website: https://www.andweknow.com/
Uncensored VIDS: https://andweknow.tv/

Donations can be sent via the following:
*Subscribestar: https://www.subscribestar.com/and-we-know
*PayPal DONATIONS: https://www.paypal.me/andweknow410
*Mail your gift to: LT, 30520 Rancho California Rd, #126, Temecula, CA 92591

*AWK Shirts and gifts: https://teespring.com/stores/and-we-know-828

Connect with us in the following ways:
*Rumble: https://rumble.com/c/c-295791
*Twitter: https://twitter.com/andweknow
*Facebook: https://www.facebook.com/andweknow828/
*Parler - https://parler.com/profile/andweknow/posts
*Instagram: https://www.instagram.com/andweknow8_28/
Backup Channels:
*Bitchute: https://www.bitchute.com/channel/1uDxpDogKMs9/
*DropSpace: https://drop.space/@Andweknow",UCzkAzJ2vQgRyEDzHFiKOaQA,AWK NEWS,2020-11-11T05:32:17Z,2,621,82,0,0,0,2,49,8,0,255,36,0,3,1,0,1,0,0,137,18
RGLHAs8kSJ8,12.4.20: SMOKING Guns everywhere! The WHOLE WORLD is WATCHING!,"😎 Get The Same Solar Power Bank I Have Here: ☀️🏕️
➡️http://www.backupsolarbank.com⬅️
Get 20% OFF Using Promo Code (know20) 
-------------------------------------------
🌿 Get My Favorite Turmeric Extract For 51% Today!
😍 Get 51% Off by Clicking Here ➡️ [http://agewithawk.com/
--------------------------------------------- 
*Our AWK Website: https://www.andweknow.com/

Music Piece
Bleeding Fields
Song by Muted
https://artlist.io/song/45772/bleeding-fields

What’s Up, Ruby?… BREAKING: Crooked Operative Filmed Pulling Out Suitcases of Ballots in Georgia IS IDENTIFIED
https://bit.ly/2JvmLNg

Timing of Large Georgia Ballot Dump for Biden Appears to Coincide with Timing of Mother-Daughter Duo’s Election Fraud Scam
https://bit.ly/33IzEKs

BREAKING: Arizona’s Legislative Leaders Call For Audit of Maricopa County Dominion Election Software and Equipmenthttps://bit.ly/3qs20T3

Don't buy into the media... Jordan Sekulow
https://www.youtube.com/watch?v=h347aZNPeYE

Jenna Ellis on the SHOCKING evidence presented to the Georgia State Senate
https://www.youtube.com/watch?v=xRs2urjnzMU

Nevada 'fraud': 1,500 ‘dead’ voters, 42,248 voted ‘multiple times,’ RV camps as 'homes'
https://washex.am/3lCpHEI

🔴 LIVE: Trump Legal Team Presents CLEAR Evidence of Fraud Before Georgia Senate Committee 12/3/20
https://www.youtube.com/watch?v=e35f4pUIYOg

----------------------------------------------------
*Our AWK Website: https://www.andweknow.com/
Uncensored VIDS: https://andweknow.tv/

Donations can be sent via the following:
*Subscribestar: https://www.subscribestar.com/and-we-know
*PayPal DONATIONS: https://www.paypal.me/andweknow410
*Mail your gift to: Pacific Student Productions, 30520 Rancho California Rd, #126, Temecula, CA 92591

*AWK Shirts and gifts: https://teespring.com/stores/and-we-know-828

Connect with us in the following ways:
*Rumble: https://rumble.com/c/c-295791
*Twitter: https://twitter.com/andweknow
*Facebook: https://www.facebook.com/andweknow828/
*Parler - https://parler.com/profile/andweknow/posts
*Instagram: https://www.instagram.com/andweknow8_28/
Backup Channels:
*Bitchute: https://www.bitchute.com/channel/1uDxpDogKMs9/
*DropSpace: https://drop.space/@Andweknow",UCzkAzJ2vQgRyEDzHFiKOaQA,AWK NEWS,2020-12-05T04:48:56Z,18,621,76,0,0,0,1,67,12,17,419,72,0,1,2,0,1,0,7,208,27
vb4zfltMBGg,11.24.20: This is about the SURVIVAL of the GREATEST Nation on EARTH!,"🌊 Heat & Boil Water In 30 Minutes Anywhere, Under Any Conditions 🌊
✅ Click Here ➡️! http://www.solarwaterheater.com ⬅️
🙌 Use Promo COde (know30) for 30% OFF ☀️
-----------------------------------------------------------------------
Prepare for Emergencies with a Food Supply
http://preparewithandweknow.com/
Save $100 for 4-week supply^^^
-------------------------------------------
Music Piece
Emotional Epic Cinematic
https://audiojungle.net/item/emotional-epic-cinematic/16090149?_ga=2.160496573.1835699120.1606273253-1887775106.1578210125

California Patriots Defy Governor Newsom’s Insane Curfew [Video]
https://magamedia.org/california-patriots-defy-governor-newsoms-insane-curfew-video/

F-E-L-O-N-Y. — Lin Wood Drops Late-Night Bombshell: “Would someone ask my never-to-be friend Brad R@ffensperger GaSecofState if he has seen this tape of election fr@ud at State Farm Arena in Fulton Co., GA?”
https://bit.ly/3nJHdbA

*Our AWK Website: https://www.andweknow.com/
Uncensored VIDS: https://andweknow.tv/

Donations can be sent via the following:
*Subscribestar: https://www.subscribestar.com/and-we-know
*PayPal DONATIONS: https://www.paypal.me/andweknow410
*Mail your gift to: Pacific Student Productions, 30520 Rancho California Rd, #126, Temecula, CA 92591

*AWK Shirts and gifts: https://teespring.com/stores/and-we-know-828

Connect with us in the following ways:
*Rumble: https://rumble.com/c/c-295791
*Twitter: https://twitter.com/andweknow
*Facebook: https://www.facebook.com/andweknow828/
*Parler - https://parler.com/profile/andweknow/posts
*Instagram: https://www.instagram.com/andweknow8_28/
Backup Channels:
*Bitchute: https://www.bitchute.com/channel/1uDxpDogKMs9/
*DropSpace: https://drop.space/@Andweknow",UCzkAzJ2vQgRyEDzHFiKOaQA,AWK NEWS,2020-11-25T05:27:13Z,4,601,54,0,1,0,1,68,4,3,397,37,0,0,0,0,0,0,0,220,19
mXBV3NTB7bg,Former Trump strategist using data to investigate voter fraud,"A political strategist is crowd sourcing money in an effort to cross-reference data and expose potential widespread voter fraud in many states. One America’s Jack Posobiec has more from Washington.

Visit us at:

Tired of censorship from other social media platforms? Join us on Free Talk
Free Talk is OANs new social platform.
Users can post, chat and connect with other members.
It allows Free Speech at home, on the go and anywhere in the world, No SHADOWBANNING!
https://freetalk.app

Website: https://www.oann.com
Facebook: 
https://www.facebook.com/OneAmericaNewsNetwork
Twitter: https://twitter.com/OANN
Instagram:
https://www.instagram.com/one_america_news_

KlowdTV:
Watch OAN Live on KlowdTV subscription prices start at $4.99 /mo
https://klowdtv.com",UCNbIDJNNgaRrXOD7VllIMRQ,One America News Network,2020-11-12T22:15:38Z,27,599,23,0,0,1,6,19,1,13,150,4,0,2,0,1,0,0,6,68,0
88jWxiC9orM,MUST WATCH: Kayleigh McEnany runs through voting allegations in 234 pages of affidavits,"WATCH: Kayleigh McEnany runs through the shocking allegations of voter irregularities revealed in 234 pages of signed and sworn affidavits.

""These are real and anyone who cares about transparency and integrity of the system should want this to proceed to the discovery phase.""",UCAql2DyGU2un1Ei2nMYsqOA,Donald J Trump,2020-11-11T03:32:31Z,14,468,14,0,0,0,5,6,1,7,244,8,0,0,0,0,0,0,1,87,2
qct1Xo9wAGU,11.17.20: LEGAL challenges remain ACTIVE in several Battleground STATES!,"Prepare for Emergencies with a Food Supply
http://preparewithandweknow.com/
Save $100 for 4-week supply^^^
-----------------------------------------------------------------------
✅ Enjoy The Healthy Aging Support of Collagen 🔥
😍 Get 51% Off Ageless Multi-Collagen Here ➡️  [http://healthwithawk.com/]  
This is my FAV trusted source ^^^^
-------------------------------------------
SOURCE:
Music Piece
The Arrival
Song by Evgeny Bardyuzha
https://artlist.io/song/35688/the-arrival

Maricopa County by Codemonkey
https://bit.ly/2UvUZlD

BREAKING: Former D@mini@n Project Manager Who Helped Execute $25 Million Contract With State Of MI Was Democrat Mayor At Same Time
https://bit.ly/3lEZqqa

MyKale G@rrett information
https://twitter.com/GavinWax/status/1328390303607349248

Gohmert: U.S. Army Seized Bankrupted Spanish S C Y T L Servers in Germany (VIDEO)
https://bit.ly/2IAwdyt

Arizona GOP Chair Kelli Ward: ‘This Election Is Far from Over’https://bit.ly/35De4Zh

Sidney Powell with Lou Dobbs 11-16-20
https://www.youtube.com/watch?v=_-3w3cS0cXs

*Our AWK Website: https://www.andweknow.com/
Uncensored VIDS: https://andweknow.tv/

Donations can be sent via the following:
*Subscribestar: https://www.subscribestar.com/and-we-know
*PayPal DONATIONS: https://www.paypal.me/andweknow410
*Mail your gift to: LT, 30520 Rancho California Rd, #126, Temecula, CA 92591

*AWK Shirts and gifts: https://teespring.com/stores/and-we-know-828

Connect with us in the following ways:
*Rumble: https://rumble.com/c/c-295791
*Twitter: https://twitter.com/andweknow
*Facebook: https://www.facebook.com/andweknow828/
*Parler - https://parler.com/profile/andweknow/posts
*Instagram: https://www.instagram.com/andweknow8_28/
Backup Channels:
*Bitchute: https://www.bitchute.com/channel/1uDxpDogKMs9/
*DropSpace: https://drop.space/@Andweknow",UCzkAzJ2vQgRyEDzHFiKOaQA,AWK NEWS,2020-11-17T13:49:04Z,19,457,39,0,0,0,2,32,8,17,259,21,0,2,0,0,1,0,6,146,11
UrAtzlBhK4U,HARD FACTS: How Voter Fraud Occurred in Michigan... | Good Morning #MugClub,"Steven reviews the Trump team's legal case in Michigan and looks at what sworn affidavits allege took place during the vote count. He then covers Democrats illegal calls for leftist to move to Georgia to swing the upcoming senate elections and celebrates passing Louder with Crowder's arch nemesis, The Young Turks.

20% off your first order if you go to https://www.blackriflecoffee.com/CROWDER and enter the promo code CROWDER

Use this link http://EXPRESSVPN.com/CROWDER today and get an extra three months FREE on a one year package!

Join #MugClub to watch this show every day! http://louderwithcrowder.com/mugclub

Subscribe to my podcast on iTunes: https://podcasts.apple.com/us/podcast/louder-with-crowder/id929121341

Shop the official #LWC store: https://louderwithcrowdershop.com/

FOLLOW ME:
Website: https://louderwithcrowder.com/
Twitter: https://twitter.com/scrowder
Facebook: https://www.facebook.com/stevencrowder 
Instagram: http://www.instagram.com/louderwithcrowder

Music by @Pogo",UCIveFvW-ARp_B_RckhweNJw,StevenCrowder,2020-11-12T16:47:32Z,140,443,27,0,0,0,26,32,4,74,159,4,2,0,0,2,0,0,18,56,1
J6pcBYFtoqA,Conservatives group takes to the streets to investigate voter fraud,"Conservatives around the country are concerned that voter fraud swayed the election in favor of Joe Biden. Many organizations now have groups gathering in key places around the country to back President Trump. One America's Jack Posobiec has more from Washington.



Visit us at:

Tired of censorship from other social media platforms? Join us on Free Talk
Free Talk is OANs new social platform.
Users can post, chat and connect with other members.
It allows Free Speech at home, on the go and anywhere in the world, No SHADOWBANNING!
https://freetalk.app

Website: https://www.oann.com
Facebook: 
https://www.facebook.com/OneAmericaNewsNetwork
Twitter: https://twitter.com/OANN
Instagram:
https://www.instagram.com/one_america_news_

KlowdTV:
Watch OAN Live on KlowdTV subscription prices start at $4.99 /mo
https://klowdtv.com",UCNbIDJNNgaRrXOD7VllIMRQ,One America News Network,2020-11-14T14:00:33Z,23,405,13,0,0,0,3,27,3,18,252,6,0,1,0,0,1,0,7,112,7
XFtPWkit2VU,11.20.20: Greatest SMACKDOWN of MSM in HISTORY!,"🔦 Defend Yourself With The Best Tactical Flashlight On The Market 🔦
➡️ Get it Here: http://www.fighterflare.com ⬅️
Use Promo Code (know30) for 30% OFF
-----------------------------------------------------------------------
Prepare for Emergencies with a Food Supply
http://preparewithandweknow.com/
Save $100 for 4-week supply^^^
-------------------------------------------

Music Piece
Impenetrable
Song by Lux-Inspira
https://artlist.io/song/44350/impenetrable

🔴 LIVE: Trump Campaign Legal Team Holds Press Conference in DC 11/19/20
https://bit.ly/35K06ox

Ge@rgia Rec@unt Witnesses Saw Trump Votes C@unted for Biden
https://bit.ly/3pKF8Od

Duane Cates Thread on what is going on
https://threadreaderapp.com/thread/1329427043902164994.html

Molly McCann response to Tucker
https://threadreaderapp.com/thread/1329618861600206849.html
-------------------------------
*Our AWK Website: https://www.andweknow.com/
Uncensored VIDS: https://andweknow.tv/

Donations can be sent via the following:
*Subscribestar: https://www.subscribestar.com/and-we-know
*PayPal DONATIONS: https://www.paypal.me/andweknow410
*Mail your gift to: LT, 30520 Rancho California Rd, #126, Temecula, CA 92591

*AWK Shirts and gifts: https://teespring.com/stores/and-we-know-828

Connect with us in the following ways:
*Rumble: https://rumble.com/c/c-295791
*Twitter: https://twitter.com/andweknow
*Facebook: https://www.facebook.com/andweknow828/
*Parler - https://parler.com/profile/andweknow/posts
*Instagram: https://www.instagram.com/andweknow8_28/
Backup Channels:
*Bitchute: https://www.bitchute.com/channel/1uDxpDogKMs9/
*DropSpace: https://drop.space/@Andweknow",UCzkAzJ2vQgRyEDzHFiKOaQA,AWK NEWS,2020-11-20T15:52:27Z,6,392,59,0,0,0,1,55,8,5,256,44,0,0,0,0,3,0,1,140,18
